,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,10,628.1949502907904,65.53676667921087,1046.390332306761,260.1657310270283,2123.628085075475,1567.2340207387958
1,12,624.9900714805692,64.73116935210176,1036.6300095965746,252.7038077100598,2142.772508319518,1611.662054047087
2,14,618.4029575956507,80.26568959187979,967.147157178444,314.36416348554576,6212.067819371713,63570.08028194654
3,16,618.0447217833508,83.8977584128135,975.3269162305878,329.1468687636214,44013.55211779133,22768334.741498835
4,18,630.4869919140116,99.00481901656555,998.4569742226294,366.7002728541699,3122.9472632011352,8459.312377553726
5,20,646.2773099605787,133.95285698880411,860.5432940559083,293.96360206084944,1451.9614484760662,1035.6124014389943
