,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,10,0.286354636537174,0.015910177934303903,0.15625844575162012,0.011355950694140601,0.42183192519773594,0.01595740906801426
1,20,0.0026926694806559915,0.000574723250480294,0.0030261463316937492,0.0007353599742076463,0.004124198651235034,0.0005527299459166593
2,30,0.001442257724900597,0.0023662164038180033,0.0017563030615211767,0.009280462696560207,0.0021221408795577316,0.000204615019759253
3,40,0.0010628313194398944,0.019723421063993843,0.0014706827964053727,0.08404525282997632,0.0017065838986633788,0.00016243623989068857
4,50,0.0008640325608547053,0.012419428944719759,0.0011034580756397066,0.01132413213771445,0.001229865905583537,0.0018508274264459577
5,60,0.0008640325622547238,0.01258882300526704,0.000865897134984275,0.010500112417225312,0.0009960931809289432,0.0037311705679851665
6,70,0.0008640325622547238,0.01283936540267645,0.0008631945943761841,0.011436106800416294,0.0008868861676407542,0.002183962129379117
7,80,0.0008640325622547238,0.012961972390435936,0.0008631933428926436,0.011472944788631742,0.0008270264551450847,0.010894575578900011
8,90,0.0008640325633635772,0.012818237158242533,0.0008631933433180265,0.01172382020873966,0.0008269966627678961,0.007519551353500745
9,100,0.0008640325633635772,0.012976118285981284,0.0008631933433180265,0.011603340337007212,0.0008156846078372854,0.01494228533738512
10,110,0.0008640325633635772,0.013496172220087813,0.0008631933433180265,0.011670681906561713,0.0008156846078372854,0.01791848589304967
11,120,0.0008640325633635772,0.013480559945221508,0.0008631933433180265,0.011725803416504813,0.0008156846077539463,0.0081559086616913
12,130,0.0008640325622547238,0.013521030415466578,0.0008631933433180265,0.011796440610728536,0.0008048304275575849,0.016115822477240443
13,140,0.0008640325622547238,0.013419417409962798,0.0008631933433180265,0.011898488316174616,0.0008048304275575849,0.0170596377079136
14,150,0.0008640325622547238,0.01349135110552127,0.0008631933433180265,0.01215009321897389,0.0008269966623827491,0.007734767663605011
15,160,0.0008640325633635772,0.013582332795032782,0.0008631933433180265,0.012427829800566713,0.0008269966628107635,0.009768309497484707
16,170,0.0008640325622547238,0.01341595393573221,0.0008631933433180265,0.011862032291079471,0.0008269966628107635,0.010021563819414747
17,180,0.0008640325622547238,0.01373837674449282,0.0008631933433180265,0.01162524311688393,0.000826996662098875,0.00956160249520454
18,190,0.0008640325622547238,0.013583372951617542,0.0008631933433180265,0.011845845815937258,0.0008269966628107635,0.009896438166286511
19,200,0.0008640325633635772,0.013805860075117353,0.0008631933433180265,0.011393295302825266,0.0008156846083259001,0.014693157798589799
