,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,10,0.0597051711254419,0.0025792564228272474,0.06919834794242077,0.002639120906183755,0.10499971769670378,0.003786724067633978
1,20,0.000635243886850611,4.4892115575100166e-05,0.0006988073421041327,5.7443126022694246e-05,0.0008529625458369275,0.0001164884682071304
2,30,0.0004574562265020435,2.5124884690640087e-06,0.0005389024340181719,3.972645903711776e-06,0.0006471894773595744,6.5956873722612535e-06
3,40,0.00036861602428437925,9.612757492931478e-07,0.000443380213999865,2.6449885872118784e-06,0.0005317097575384034,3.5774570106708155e-06
4,50,0.0002801446269067094,8.044865980705188e-08,0.0003697808570018171,1.0471062620243845e-06,0.0004580906254025306,2.9744795694424095e-06
5,60,0.00021820653338256728,2.456377429044706e-09,0.00030397320536779983,1.970126205870402e-07,0.00040210038651963923,1.7019260344220324e-06
6,70,0.00018602527971281423,1.0964755029707853e-10,0.00025981603526554944,3.3377644349524296e-08,0.00035295089895707787,7.132750588625966e-07
7,80,0.00016552274217033916,6.1292127629139674e-12,0.00023091145885379473,6.349975682960428e-09,0.00031604854731833576,2.7713283775201995e-07
8,90,0.0001507540132212943,3.801063233569355e-13,0.00020902830081223077,1.1902250672193671e-09,0.0002854468047648141,9.799309081648104e-08
9,100,0.00011802546529124113,1.344915646580921e-13,0.00016936865001779993,1.1715617252719278e-11,0.00023968528746027892,1.0731370819470648e-08
