,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,10,0.286354637,0.015910178,0.159966178,0.011153288,0.421831925,0.015957409
1,12,0.253022161,0.014909088,0.155617603,0.010923764,0.418831739,0.015939497
2,14,0.00377438,0.001269198,0.003525653,0.001297602,0.078689628,0.006699197
3,16,0.003535981,0.001035243,0.003335969,0.001188268,0.014799449,0.002648683
4,18,0.003404829,0.000740592,0.003215514,0.000980495,0.006072718,0.001378274
5,20,0.002692669,0.000574723,0.003026146,0.000737326,0.004124199,0.00055273
