,concentration,T2_C_conc,T2_C_err_conc,T2_C_trueerr_conc
0,0.2,3.0653514856660586,0.01929251637981982,0.8176924008873919
1,0.2383838383838384,1.9445438813085816,0.08378593399288504,0.5902608415251727
2,0.2767676767676768,3.7901743364821545,0.017268134757155544,1.004455009300318
3,0.3151515151515152,3.56488847167569,0.06528115756794195,0.9937901906682045
4,0.35353535353535354,3.4969510248491145,0.014908666805781396,0.9257227471563462
5,0.3919191919191919,1.648919194693366,0.01113912652036195,0.4406157789569896
6,0.4303030303030303,1.8813504043279827,0.013599733980215876,0.5036153007292786
7,0.46868686868686865,1.2094963311769011,0.01443841743766672,0.329463214965623
8,0.507070707070707,0.9614758496284029,0.01755714150227975,0.26798265090624895
9,0.5454545454545454,1.6165458559810768,0.00987695667295413,0.4309216658202464
10,0.5838383838383838,1.3641644007446514,0.04482557177506778,0.40013513581588245
11,0.6222222222222222,1.1509160000528296,0.033528033521675625,0.33329502788331355
12,0.6606060606060606,1.5653899144929277,0.005371727698040957,0.4130923864168585
13,0.698989898989899,1.4207593349111365,0.01136617366866809,0.38141642539685805
14,0.7373737373737372,0.9236533320435719,0.01158147535469411,0.2521557511194798
15,0.7757575757575756,0.8924491628318146,0.012445231023376864,0.24489208479061358
16,0.814141414141414,0.4749290909720301,0.024268478715516788,0.14796826751770165
17,0.8525252525252525,1.0036294639071803,0.0045667788763820915,0.26597159715541163
18,0.8909090909090909,0.8696227512215442,0.02762099409514715,0.2541224923367345
19,0.9292929292929293,0.8692679266964126,0.0041542478877994015,0.23056332871454535
20,0.9676767676767677,0.7998595416238468,0.004757124327577745,0.2130881325793111
21,1.006060606060606,0.9410862437671331,0.006686692859501238,0.25180153592033966
22,1.0444444444444443,0.616533062470627,0.01975350464158026,0.18033539163673226
23,1.0828282828282827,0.6774643601422827,0.01915205118978342,0.1956040728991527
24,1.121212121212121,0.6483597783372221,0.019162486665885214,0.18803394384278213
25,1.1595959595959595,0.48250571731990416,0.021446390349645305,0.147119583386022
