,num,T2_E_near,T2_err_E_near,T2_E_mid,T2_err_E_mid,T2_E_far,T2_err_E_far
0,1,1.991538980677063,0.01756244364585029,0.8772537443051365,0.04074217287119631,1.2100347563462068,0.03583015730571949
1,2,1.9915347132405739,0.017561927793620688,0.8772503738060825,0.04074210661637666,1.210033501819296,0.03583014008864433
2,3,1.9745932404806776,0.017899128253527234,0.8718820385154062,0.04065164915249799,1.2078909248940202,0.035780496901774234
3,4,1.759808337985129,0.033475832287994375,0.7993339054092223,0.03889166325742617,1.1790541049032959,0.03552329164862322
4,5,1.6874970806676615,0.03578225098282363,0.6919859727338442,0.03710376235034719,1.0240519615025836,0.03659264095820048
5,6,0.6768502051382441,0.04121446122528791,0.2644684224305483,0.022224959038002947,0.5383481551373291,0.029479231966361614
6,7,0.010333076521098218,0.0038773874741950846,0.027041120503782105,0.006010520666206627,0.3757644547798203,0.024438846254779455
7,8,0.009056593722215758,0.002644454807377136,0.012466518997951651,0.0061917156218014744,0.3645984241585241,0.02402315172680462
8,9,0.009056576868475785,0.0026444421304394664,0.012466493756791147,0.006191761763759348,0.3645941567397333,0.024022670761751453
9,10,0.008991042340534836,0.0025365541790691496,0.011806588649519813,0.006804456883579658,0.35652111850528706,0.02367236557755046
