,time_space_generatilze_fixed_far,l_generatilze_fixed_far
0,0.0,0.9999999996500105
1,0.015,0.9995869102211301
2,0.025,0.7910959577723629
3,0.03,0.9976446010940928
4,0.04,0.9052917250434352
5,0.045,0.9907350054874924
6,0.055,0.912380034218585
7,0.06,0.9755519773373553
8,0.07,0.9337564634483259
9,0.075,0.9514364886024337
10,0.085,0.9161535203302377
11,0.09,0.9225151863501259
12,0.095,0.7900652219301858
13,0.1,0.8222866684682815
14,0.105,0.8959134517294095
15,0.11,0.8439090383709908
16,0.115,0.8005161696187675
17,0.12,0.8573818385671386
18,0.125,0.8846829462732575
19,0.13,0.7462808225722812
20,0.135,0.8540040841161692
21,0.14,0.7518303213489357
22,0.145,0.7288378945310747
23,0.15,0.8269350166589253
24,0.155,0.7146295906873095
25,0.16,0.7152993825452884
26,0.165,0.8091102577119959
27,0.17500000000000002,0.7244693093322565
28,0.18,0.7784948138691976
29,0.19,0.7111820355798418
30,0.195,0.7297289158472307
31,0.20500000000000002,0.6921200213868967
32,0.21,0.654756077544769
33,0.22,0.6712209095141972
34,0.225,0.5562747261529616
35,0.23500000000000001,0.6265287153506246
36,0.24,0.4904567731852964
37,0.25,0.5918993559948467
38,0.265,0.5523416813770373
39,0.275,0.39198121358795684
40,0.28,0.5239910731762066
41,0.29,0.4506215124858491
42,0.295,0.5039513332920424
43,0.305,0.4597039514897074
44,0.31,0.4911900118319011
45,0.32,0.43149895653863957
46,0.325,0.4902397349730103
47,0.33,0.3818007079493501
48,0.335,0.4326230877163568
49,0.34,0.4966117620051943
50,0.34500000000000003,0.4412926427354208
51,0.35000000000000003,0.39972247503293634
52,0.355,0.5095243429113396
53,0.36,0.4496822790365945
54,0.365,0.38932106104095854
55,0.37,0.5309521764517825
56,0.375,0.5307401740066113
57,0.385,0.5616889953006814
58,0.39,0.4829840312050017
59,0.4,0.5877410894827262
60,0.405,0.4524349896687959
61,0.41500000000000004,0.6329271523059177
62,0.425,0.49612339380231524
63,0.43,0.6535853387351752
64,0.44,0.571640893330715
65,0.445,0.6686998803935272
66,0.455,0.6277382348522349
67,0.46,0.6840776970164767
68,0.47000000000000003,0.685129056082136
69,0.47500000000000003,0.6400216740146428
70,0.485,0.700375460500614
71,0.49,0.6154573254727514
72,0.5,0.7295409970817163
73,0.505,0.5682048969976675
74,0.515,0.6927475550127856
75,0.52,0.5276684157349775
76,0.525,0.54330493455794
77,0.53,0.67449378743776
78,0.54,0.5895074163261328
79,0.545,0.6445618756199984
80,0.55,0.4976114842109967
81,0.555,0.5733030496789799
82,0.56,0.5933324860026441
83,0.5650000000000001,0.4795887466848148
84,0.5700000000000001,0.5288444333706599
85,0.5750000000000001,0.5589557427363405
86,0.58,0.47213807123735324
87,0.585,0.4634838804987971
88,0.59,0.5160508374066395
89,0.595,0.48380003429654217
90,0.605,0.4706021399978716
91,0.61,0.427475605391664
92,0.62,0.43078835726387776
93,0.625,0.39900365232142965
94,0.635,0.3994252440868479
95,0.64,0.3245628919408938
96,0.65,0.35615273071392756
97,0.655,0.273753755697388
98,0.665,0.3359967695383014
99,0.68,0.3092731569083895
100,0.6900000000000001,0.21561329860945763
101,0.6950000000000001,0.2856057111755278
102,0.705,0.2355622311287054
103,0.71,0.27791716128866806
104,0.72,0.26098165549883595
105,0.725,0.2574368756710033
106,0.735,0.24852084271963712
107,0.74,0.25099766129315226
108,0.75,0.2755980300268804
109,0.755,0.24337394314082428
110,0.765,0.2671317500595885
111,0.77,0.24192427231511404
112,0.775,0.21323238147137769
113,0.78,0.26120357437325314
114,0.785,0.24252820931343952
115,0.79,0.2659952465213539
116,0.795,0.268994489770928
117,0.8,0.2575621022609048
118,0.805,0.26207098212368657
119,0.81,0.2562934465348402
120,0.8150000000000001,0.2594846653686732
121,0.8200000000000001,0.23320097136616594
122,0.8250000000000001,0.25851662047315704
123,0.8300000000000001,0.27594511175300324
124,0.835,0.2440132886781271
125,0.84,0.25872388045743283
126,0.845,0.2822429074779151
127,0.855,0.25900631237581195
128,0.86,0.26168117600776947
129,0.87,0.25741295739289183
130,0.875,0.27147656277416204
131,0.885,0.26350691859414554
132,0.89,0.22216019576608217
133,0.9,0.24796352376867747
134,0.905,0.19540439103359378
135,0.915,0.24934484026845644
136,0.93,0.2404674190890052
137,0.9400000000000001,0.16169628475302447
138,0.9450000000000001,0.22023807723024066
139,0.9550000000000001,0.17003916084750628
140,0.96,0.22028528562760677
141,0.97,0.19545276112741272
142,0.975,0.19866605082146357
143,0.985,0.18274510749301023
144,0.99,0.190256139102264
145,1.0,0.19477077243380211
