,conc_elec,T2_hahn_elec,T2_err_hahn_elec
0,10.0,221.23306470082346,0.010723888535309567
1,20.0,80.93066516659557,0.007082860545628029
2,30.000000000000004,40.57276699204843,0.002026270836973512
3,40.0,27.297397890691894,0.001588697287960968
4,50.0,0.7692298610475118,0.00010471639446875617
5,60.0,0.7312910435781453,6.53094821565652e-05
6,70.00000000000001,0.5401468233459958,4.512364371947333e-06
7,80.0,0.2682343573719778,1.727875810571766e-06
8,90.0,0.12880600899264036,1.2379887098677712e-07
9,100.0,0.2723320739694779,7.0837763227516114e-06
10,100.0,0.019696079150453828,4.172266871442419e-06
11,199.99999999999997,0.034277500582534856,2.3444971796718197e-07
12,300.0,0.02669060585657746,1.3911172581417976e-06
13,399.99999999999994,0.015623079967545049,3.062666477350863e-07
14,500.0,0.01644255276787711,5.291910875704257e-08
15,600.0,0.0617105242662353,1.1560385864509147e-07
16,700.0,0.03440795274237814,0.0019008391538332127
17,799.9999999999999,0.06042886205960345,3.0915969422520605e-07
18,900.0,0.009262437097721668,2.344509933092697e-10
19,1000.0,0.014188091364855392,1.2245983142206328e-15
