,conc_rand,T2_hahn_rand,T2_err_hahn_rand
0,5.687411624999999,347.35189108567675,20.015983420500678
1,11.374823249999999,148.83198923905758,9.927344915927598
2,17.062234874999998,233.84894376235513,22.56570866687822
3,22.749646499999997,126.83556173919597,8.581778906765816
4,28.437058124999997,113.04010073261765,6.283711057740205
5,34.124469749999996,143.0984304445153,8.475063118695374
6,39.811881375,126.47504976794153,7.0729638228940805
7,45.499292999999994,127.26953341824712,7.129241136022096
8,51.18670462499999,102.77123989574096,5.598839213540246
9,56.87411624999999,82.79023882022491,4.250051870888726
10,56.87411624999999,1.2542988913669073,0.02650896186427774
11,176.30976037499997,0.6296895586044392,0.007736727195691972
12,295.74540449999995,0.4591047749565773,0.005383231100382675
13,415.18104862499996,0.39283831149507464,0.003557412921447754
14,534.61669275,0.23325520882055265,0.0011016069815126817
15,659.7397484999999,0.18393445470274616,0.0016731878649694843
16,779.1753926249999,0.14416980203419127,0.0012550260823342388
17,898.6110367499999,0.11949974316742808,0.0011886304445804137
18,1018.0466808749999,0.09917219598420754,0.0013178108816548982
19,1137.482325,0.07872975852427858,0.0007369734852915472
