,conc_elec,T2_hahn_elec,T2_err_hahn_elec
0,10.0,-0.1315165419979499,0.0071012220124856895
1,20.0,-0.0420556434904155,0.002543630097364284
2,30.000000000000004,-0.030630036586948996,0.0017803980563394941
3,40.0,-0.03771746666952799,0.001964643618053514
4,50.0,-0.04255045455981657,0.0026714692431615015
5,60.0,-0.0006235549626625204,0.00030021986443389665
6,70.00000000000001,-0.00045777876427238767,1.4039009172808672e-05
7,80.0,-0.000504640106326004,6.3528273028697314e-06
8,90.0,-0.0004536064432488199,1.2953090844654383e-05
9,100.0,-0.000472226351294883,1.2569887458764892e-05
10,100.0,-0.0005559735974335365,5.9806487786253675e-06
11,199.99999999999997,-0.0002905213560790455,6.240850550507187e-06
12,300.0,2.4206836998961142e-05,6.475201019777684e-07
13,399.99999999999994,-0.00011076277063203709,4.768861261614738e-07
14,500.0,-6.796378057656916e-05,5.347694076486052e-07
15,600.0,5.1440739400892844e-05,5.937101052101148e-07
16,700.0,-1.1297888587605756e-05,8.567576972772549e-10
17,799.9999999999999,-3.208991727217885e-05,1.853616000201614e-07
18,900.0,-1.6106638894385053e-05,1.9487570171435187e-11
19,1000.0,1.1997962960471063e-05,2.648391213269447e-11
