,distances,T2_range_dist,T2_range_dist_err,T2_range_dist_trueerr
0,0.51,1.0349653275458413,0.0051672960471211326,0.007862961460519539
1,0.5138775510204082,1.034500724076139,0.005158324799748545,0.007852780109319423
2,0.5177551020408163,1.031695012865427,0.005172355672282955,0.007859503240744636
3,0.5216326530612245,1.0207276048921687,0.005516143160047437,0.008174725073640036
4,0.5255102040816326,0.9804349645922638,0.008953025883657161,0.011506661791832833
5,0.5293877551020408,0.9622099673913481,0.010796335549775007,0.013302502723195778
6,0.5332653061224489,0.9232050995789547,0.013821229434990957,0.016225804728647635
7,0.5371428571428571,0.874721336867667,0.01749089090923507,0.019769185641820057
8,0.5410204081632654,0.810297997002842,0.020871606174821356,0.02298210420497862
9,0.5448979591836735,0.7454523076446297,0.02409051321416855,0.026032114492561764
10,0.5487755102040817,0.7371953250920137,0.025766796837403946,0.02768689202115445
11,0.5526530612244898,0.7129842925219038,0.025769036902496156,0.027626072154300282
12,0.556530612244898,0.7028070666998623,0.024041474884240813,0.025872002585576676
13,0.5604081632653061,0.7218406400515612,0.02699951135204001,0.028879613801449044
14,0.5642857142857143,0.7278040279265442,0.026107718970619972,0.028003353629672583
15,0.5681632653061225,0.7200878848464178,0.02799862521281099,0.029874162444952446
16,0.5720408163265306,0.6970653023538478,0.026277423802286357,0.028092996533491833
17,0.5759183673469388,0.6477913105378375,0.0235086607692368,0.0251958947126749
18,0.5797959183673469,0.6942679103850659,0.027502803640423436,0.029311090298774812
19,0.5836734693877551,0.6945375408047412,0.026749050110717897,0.028558039047085138
20,0.5875510204081632,0.6955474052112774,0.027090248382949773,0.028901867606999577
21,0.5914285714285714,0.6936959781440395,0.02716041825483908,0.028967215261392554
22,0.5953061224489795,0.6838560625503006,0.026665945834000306,0.028447113846585746
23,0.5991836734693877,0.6730546897182714,0.02623150107419178,0.027984535886190133
24,0.6030612244897959,0.6576603699104309,0.025404789297593534,0.027117728142737434
25,0.606938775510204,0.6452092535455587,0.024529794199985303,0.026210302930950818
26,0.6108163265306122,0.6396074994718571,0.023893497337497738,0.02555941576837402
27,0.6146938775510203,0.6426293626792483,0.023228832031736205,0.024902621192109776
28,0.6185714285714285,0.6514345724767766,0.023272695344843504,0.024969418509745708
29,0.6224489795918366,0.6611423868921844,0.02338331558748689,0.02510532367630182
30,0.6263265306122449,0.6680148919707308,0.02345832811768801,0.025198236298178057
31,0.6302040816326531,0.6685872343875437,0.023306068880830897,0.02504746778146061
32,0.6340816326530612,0.6609332861162039,0.022785084767279445,0.02450654823327975
33,0.6379591836734694,0.6458958606649762,0.02187890136371688,0.023561198428083657
34,0.6418367346938776,0.6286277495521336,0.020699319223996794,0.02233663985423318
35,0.6457142857142857,0.6153523928281787,0.019420646583384577,0.021023390287207254
36,0.6495918367346938,0.6092033140748969,0.018185139326881945,0.01977186717154653
37,0.653469387755102,0.6069894759222598,0.016831496516909315,0.01841245821001298
38,0.6573469387755102,0.616614312669226,0.01602887740262567,0.017634907896430053
