,time_space_generatilze_fixed_mid,l_generatilze_fixed_mid
0,0.0,0.9999999996502371
1,5e-05,0.9999196165883427
2,0.0001,0.9998391138168224
3,0.00015000000000000001,0.999662430513059
4,0.0002,0.9989347469473084
5,0.00025,0.9975444627168505
6,0.00030000000000000003,0.9951247332146436
7,0.00035,0.9912394319028489
8,0.0004,0.9856820707142444
9,0.00045000000000000004,0.9779803811808983
10,0.0005,0.9679320487678431
11,0.00055,0.9552775392629075
12,0.0006000000000000001,0.9398745282304138
13,0.0006500000000000001,0.9216983547995924
14,0.0007,0.9005635527379195
15,0.00075,0.876681474485373
16,0.0008,0.8501050769812127
17,0.0008500000000000001,0.8207987274830865
18,0.0009000000000000001,0.7891236588034277
19,0.00095,0.7553041266399906
20,0.001,0.7194439945602688
21,0.0010500000000000002,0.6820260415233074
22,0.00265,0.19515340049015006
23,0.0027,0.19055602433612914
24,0.0027500000000000003,0.1850861632087281
25,0.0028,0.17885460458582036
26,0.00285,0.1719185850508215
27,0.0029000000000000002,0.16437599558244748
28,0.00295,0.15639259200578126
29,0.003,0.14807756250689794
30,0.00305,0.13958122938317927
31,0.0031000000000000003,0.13104500210754325
32,0.00315,0.12259773453219093
33,0.0032,0.1143537032491577
34,0.0032500000000000003,0.1063962979315726
35,0.0033,0.09881082541156073
36,0.00335,0.09164957554362849
37,0.0034000000000000002,0.08493099309046488
38,0.0034500000000000004,0.07867829190742412
39,0.0035,0.0728955648991279
40,0.00355,0.06755811890054632
41,0.0036000000000000003,0.06266059525638863
42,0.00365,0.05817120471122929
43,0.0037,0.05405651056663752
44,0.0037500000000000003,0.050304371243982786
45,0.0038,0.04687410927093041
46,0.00385,0.043738354348815255
47,0.0039000000000000003,0.040875829069626744
48,0.00395,0.0382588336372273
49,0.004,0.035866046511710416
50,0.00405,0.03367248231650983
51,0.0041,0.03165870683346751
52,0.00415,0.02980576141486386
53,0.004200000000000001,0.028091131118490292
54,0.00425,0.02649794492340274
55,0.0043,0.02501011764567731
56,0.004350000000000001,0.0236081280153756
57,0.0044,0.022281694795594418
58,0.00445,0.021017627962457017
59,0.0045000000000000005,0.01980333919503201
60,0.00455,0.018637038884892997
61,0.0046,0.01750995076901538
62,0.0046500000000000005,0.016419199768155004
63,0.0047,0.015367587948686853
64,0.00475,0.014354252345357955
65,0.006350000000000001,0.012279892290910494
66,0.0064,0.012899525971934549
67,0.00645,0.01349693619421889
68,0.006500000000000001,0.01406503251657199
69,0.00655,0.014600631718466673
70,0.0066,0.015100739381893867
71,0.0066500000000000005,0.015562352931354436
72,0.0067,0.015986421859291583
73,0.00675,0.01637284293372921
74,0.0068000000000000005,0.01672131467906634
75,0.00685,0.017035004219264304
76,0.006900000000000001,0.017312828165641298
77,0.0069500000000000004,0.01755872484231204
78,0.007,0.01777452398378108
79,0.007050000000000001,0.01795965394346678
80,0.0071,0.018121639026279494
81,0.00715,0.018261721598644004
82,0.007200000000000001,0.018383459923124228
83,0.00725,0.01849272477540917
84,0.0073,0.018592133090193298
85,0.007350000000000001,0.018688106203857784
86,0.0074,0.018784012241549634
87,0.00745,0.01888013768938582
88,0.007500000000000001,0.018979738431972735
89,0.00755,0.019082087363959287
90,0.0076,0.01918225722450372
91,0.0076500000000000005,0.019277394759502253
92,0.0077,0.01935805824917793
93,0.00775,0.01941677618559166
94,0.0078000000000000005,0.01944508621693387
95,0.007850000000000001,0.019428564020046165
96,0.0079,0.01936052595286773
97,0.00795,0.01923046195124105
98,0.008,0.01902932237995884
99,0.00805,0.0187538650718454
100,0.0081,0.018399352259739894
101,0.008150000000000001,0.017966790803104402
102,0.0082,0.0174587091974243
103,0.00825,0.016877696993717637
104,0.0083,0.016232702151411413
105,0.00835,0.015532075909877112
106,0.008400000000000001,0.014782748317402386
107,0.008450000000000001,0.013997084793390641
108,0.0085,0.016004008162726648
