,num,T2_P_near,T2_err_P_near,T2_P_mid,T2_err_P_mid,T2_P_far,T2_err_P_far
0,10,0.7629133071870892,0.0022796853659912556,0.5547791471281216,0.016014873867566025,0.644923719690288,0.011346309571133835
1,30,0.762905139039738,0.002279739688987007,0.5547840738591173,0.016014920878908233,0.644920612448877,0.011346201703229152
2,50,0.7626279601123126,0.002280797434446562,0.5546517340478677,0.016009615196065884,0.6448555964570903,0.011343876379115755
3,70,0.7623904677117882,0.0022835165702148053,0.5545689839081503,0.01600552355905717,0.6448270856658224,0.011342824922362292
4,90,0.762360990214093,0.002283783551663128,0.5545543238571122,0.01600471886758928,0.6448154697545946,0.01134240348346746
5,110,0.761900796226958,0.0022897696747562384,0.5544475024359139,0.016002902957298476,0.6447506191057982,0.011340022790934356
6,130,0.7617806869547793,0.0022911581669523306,0.5544176809580735,0.016026616472332642,0.6447089419595271,0.011338480552211967
7,150,0.7616557087212475,0.0022926640287734227,0.5543680325551965,0.01602439458565113,0.6446829101126225,0.011337523003718418
8,170,0.7614730041740617,0.0022948908841567677,0.5542493726527944,0.01602559133106863,0.6446166283143716,0.01133506511484185
9,190,0.761025224397853,0.0022995154361621353,0.5539878017482142,0.016015880008952824,0.6444390019662926,0.011328578623188704
10,210,0.7605830933406764,0.0023054711276926584,0.5536708791553628,0.01601163461781362,0.6442824756320719,0.0113228425469815
11,230,0.7603387191745147,0.0023086756075749284,0.5535520058988637,0.016016055526311863,0.6442306896392072,0.011320937066732465
12,250,0.7601148666463403,0.002310468346943901,0.553400091814878,0.016019500929823793,0.6441473636980113,0.01131817932031228
13,270,0.7597046132423346,0.002316254790911953,0.5531757449435946,0.016020956679302707,0.6440009913462197,0.011312779487894787
14,290,0.7587310463439628,0.0023306478463969013,0.5527468800007812,0.016034066354601938,0.6437992281010696,0.011305605017872849
